prefectures_jpn,total_plant_area,paddy_rice_plant_area,soybean_plant_area,vegetable_plant_area,fruit_plant_area,others_plant_area,,
Hokkaido,"18,162","3,712","1,349","3,562",309,"9,230",,
Tohoku,"25,315","16,917","1,580","2,295","1,996","2,527",,
Hokuriku,"11,806","10,156",368,357,262,662,,
Kanto,"20,792","8,381",432,"6,171","3,027","2,781",,
Tokai,"6,162","3,257",368,867,574,"1,096",,
Kinki,"8,860","6,284",464,700,869,543,,
Chugoku,"5,468","3,872",147,605,371,473,,
Shikoku,"2,893","1,255",7,610,670,351,,
Kyushu,"15,267","6,760",407,"3,154","1,469","3,477",,
Okinawa,544,29,0,114,83,318,,
Hokkaido,"18,162","3,712","1,349","3,562",309,"9,230",,
Aomori,"3,674","1,014",427,"1,067",982,184,,
Iwate,"4,958","3,374",134,353,281,817,,
Miyagi,"5,649","4,732",331,184,77,325,,
Akita,"3,665","2,677",459,204,111,213,,
Yamagata,"3,080","2,145",165,286,221,263,,
Fukushima,"4,289","2,974",64,202,324,725,,
Ibaraki,"4,457","1,910",133,"1,517",235,663,,
Tochigi,"2,674","1,913",69,330,148,214,,
Gunma,"1,942",418,17,938,116,454,,
Saitama,"1,845",960,64,561,86,174,,
Chiba,"3,336","1,364",54,"1,292",329,297,,
Tokyo,273,13,0,160,69,31,,
Kanagawa,669,114,4,327,149,75,,
Niigata,"7,611","6,861",196,201,124,230,,
Toyama,"1,408","1,109",100,39,68,93,,
Ishikawa,980,797,27,87,44,23,,
Fukui,"1,806","1,389",45,30,26,317,,
Yamanashi,"1,428",156,17,160,"1,032",63,,
Nagano,"4,167","1,534",73,887,864,809,,
Gifu,"1,264",807,70,154,143,90,,
Shizuoka,"1,584",518,12,240,208,606,,
Aichi,"1,443",647,44,367,153,232,,
Mie,"1,871","1,285",242,106,69,169,,
Shiga,"3,435","2,944",263,88,20,120,,
Kyoto,"1,291",923,21,155,30,161,,
Osaka,240,116,2,69,50,4,,
Hyogo,"2,551","1,886",171,254,57,183,,
Nara,544,298,6,55,132,54,,
Wakayama,800,117,2,79,580,21,,
Tottori,833,490,29,146,38,130,,
Shimane,997,663,30,81,67,156,,
Okayama,"1,311",979,63,116,101,51,,
Hiroshima,"1,239",946,18,146,102,28,,
Yamaguchi,"1,089",794,7,116,63,108,,
Tokushima,784,304,1,187,88,204,,
Kagawa,570,281,2,158,86,43,,
Ehime,795,317,3,103,341,32,,
Kochi,744,353,1,163,155,72,,
Fukuoka,"3,250","1,965",184,466,258,378,,
Saga,"1,054",498,89,222,119,126,,
Nagasaki,"1,033",278,12,415,151,177,,
Kumamoto,"4,599","1,996",86,"1,209",559,749,,
Oita,"1,155",569,24,157,96,308,,
Miyazaki,"1,841",713,5,381,139,604,,
Kagoshima,"2,335",741,6,304,148,"1,135",,
Okinawa,544,29,0,114,83,318,,
,,,,,,,,
